epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.157,1.29515,3.0037,1.34211,0.59098,0.61136,0.63958,0.42795,1.05348,1.2863,1.06735,0.000184944,0.000184944,0.000184944
2,237.517,1.26681,1.72684,1.31925,0.77726,0.66648,0.76281,0.5173,0.94675,1.03912,0.98006,0.000362946,0.000362946,0.000362946
3,345.704,1.23865,1.53766,1.2997,0.70552,0.68964,0.74455,0.50862,0.93233,1.04715,0.98221,0.000533608,0.000533608,0.000533608
4,453.234,1.20017,1.41432,1.27386,0.73652,0.75505,0.79877,0.55991,0.85337,0.86121,0.93647,0.000522974,0.000522974,0.000522974
5,560.432,1.15761,1.27411,1.25072,0.79207,0.74699,0.81914,0.56413,0.87186,0.7894,0.94061,0.000511965,0.000511965,0.000511965
6,668.406,1.14043,1.2151,1.24386,0.85704,0.77544,0.8409,0.59377,0.86227,0.72933,0.9474,0.000500956,0.000500956,0.000500956
7,776.195,1.11723,1.14712,1.22959,0.82992,0.79228,0.8561,0.60607,0.87153,0.68841,0.9203,0.000489947,0.000489947,0.000489947
8,883.973,1.10547,1.09849,1.21763,0.81861,0.78573,0.82293,0.60162,0.8094,0.7139,0.90859,0.000478938,0.000478938,0.000478938
9,991.805,1.08468,1.04481,1.2056,0.79623,0.81958,0.85827,0.62796,0.80205,0.65512,0.89796,0.00046793,0.00046793,0.00046793
10,1099.43,1.06488,1.01634,1.19735,0.85872,0.8113,0.86514,0.63878,0.78502,0.63282,0.89048,0.000456921,0.000456921,0.000456921
11,1207.21,1.07144,0.99037,1.19532,0.82982,0.83369,0.87328,0.6404,0.80011,0.60565,0.88745,0.000445912,0.000445912,0.000445912
12,1314.37,1.05511,0.97104,1.18533,0.8484,0.84879,0.89287,0.66009,0.75697,0.56419,0.8667,0.000434903,0.000434903,0.000434903
13,1421.4,1.03786,0.93034,1.17704,0.8366,0.84772,0.88786,0.66254,0.74554,0.56078,0.86234,0.000423894,0.000423894,0.000423894
14,1528.83,1.0366,0.92031,1.17406,0.86334,0.86719,0.9056,0.67066,0.73863,0.50256,0.85207,0.000412886,0.000412886,0.000412886
15,1636.57,1.02629,0.88526,1.17227,0.86919,0.83626,0.90012,0.66659,0.7741,0.52084,0.86061,0.000401877,0.000401877,0.000401877
16,1744.03,1.013,0.8828,1.16499,0.83988,0.86315,0.89068,0.65387,0.76608,0.57272,0.86025,0.000390868,0.000390868,0.000390868
17,1851.33,1.01468,0.86879,1.16095,0.88046,0.84102,0.90127,0.67234,0.72921,0.52535,0.85277,0.000379859,0.000379859,0.000379859
18,1958.81,1.01146,0.85356,1.15722,0.85249,0.84054,0.87404,0.66398,0.74024,0.51423,0.84522,0.00036885,0.00036885,0.00036885
19,2066.32,1.00116,0.83165,1.15055,0.86334,0.85146,0.90311,0.68502,0.72253,0.50064,0.84017,0.000357842,0.000357842,0.000357842
20,2173.72,0.99299,0.81975,1.15165,0.86229,0.86534,0.91617,0.69698,0.69765,0.46989,0.83121,0.000346833,0.000346833,0.000346833
21,2281.35,0.9919,0.80322,1.14527,0.86437,0.87734,0.91411,0.68789,0.71816,0.48965,0.83555,0.000335824,0.000335824,0.000335824
